Gene,Log2FC,MeanExpr,t_stat,p_value,adj_pval,B_stat
DMP1,-0.022458596789835153,5.213861184612245,-1.846965048551036,0.06674201770042316,0.3494124994269057,-4.605023186700295
DMPK,0.013058426705357076,5.20258963132653,0.8097195238192119,0.41939672409946815,0.7414777650873771,-5.92161422080186
DMRT1,0.0011915300480770748,5.241289896285714,0.06249422921406242,0.9502532784425768,0.9869669672583673,-6.236693874962304
DMRT2,-0.036611014892857216,5.221823199935375,-2.597850152129191,0.010325311834535039,0.14085899762283605,-3.043210574778883
DMRT3,-0.011724259070055042,4.956806667462585,-0.6099420299790698,0.5428322472311824,0.820738952801767,-6.058550927810671
DMRTA1,0.01292294643956054,5.182384511653061,0.6963860133838574,0.487275486879022,0.7865442341200285,-6.003996061987483
DMRTA2,-0.018622237703296633,5.421290168231293,-1.0043271739260178,0.3168543397580958,0.6659558571598545,-5.751541134719809
DMRTB1,-0.030129786425824735,5.20027914270068,-1.4974450594956743,0.13639963629784968,0.4742175752522918,-5.160468716102919
DMRTC1,0.01875573548351623,5.292601714823129,1.0929738904151787,0.27617481980748193,0.6302780138337348,-5.662140990386196
DMRTC2,-0.024425786648351513,5.041356078217687,-1.429940831301205,0.1548341781558402,0.4987659362377384,-5.254809250742964
DMTF1,-0.035505490250687353,8.815270671734694,-1.33563026958112,0.18371325604749333,0.5358486245454673,-5.379524287849031
DMWD,0.12165032417033031,6.087333400034014,3.2467094051143603,0.0014431350618348943,0.04934925185334428,-1.3103827433962865
DMXL1,-0.08068065157417627,7.8146218073469385,-2.4061174695048995,0.017352236591736216,0.1837319766244677,-3.4885769447600836
DMXL2,-0.13805654003846177,7.4959914223809525,-2.446396652254032,0.01559681584217862,0.17393383060905085,-3.397613365890958
DNA2,-0.054825510611263804,5.792495318568027,-3.0765387217319446,0.0024939106194631425,0.06724742908433196,-1.7976567127535787
DNAH1,6.608212087912638e-4,6.943453926938775,0.02425507638626476,0.9806817026964945,0.995185455597392,-6.2383012300320875
DNAH10,-0.01248798566987182,5.26944352431746,-1.04584554580695,0.2973314035733384,0.6492000756406401,-5.710596469810704
DNAH11,0.005427083756868478,5.373064055653061,0.26029952897578995,0.7949932463981834,0.9365146476329597,-6.205762533319339
DNAH12L,-0.012132225300824289,4.961035756795918,-0.6146251392123526,0.5397427224333997,0.8189038186255985,-6.055779360105006
DNAH14,-0.003674644419414312,5.285211697002268,-0.37068924035411754,0.711397147442831,0.9010304189722073,-6.172035080150511
DNAH17,-0.011027854649725239,5.071007911639456,-0.5441946153120135,0.5871235754707236,0.8446860678596975,-6.095234195124917
DNAH2,-0.005664344924450858,5.29637582985034,-0.2868526090954703,0.7746249514623256,0.9291068115738333,-6.198726305753266
DNAH3,0.01040038644917619,5.2944738649863945,0.516907273547672,0.6059897481321973,0.8533866891661485,-6.109236808246539
DNAH5,-0.030393794486264013,5.0629013096394555,-1.8850830218646708,0.06137193294587186,0.335130211078535,-4.537729229306515
DNAH6,0.023508193024725062,5.434900224455783,1.1183971858854873,0.2652029930672309,0.6206447733569116,-5.635129800120502
DNAH7,-0.007825441098901147,5.178684343605442,-0.3851739352106139,0.7006595850248565,0.8965260062602728,-6.166735228627308
DNAH8,-0.001340285256868554,5.32908964129932,-0.07710831328355519,0.9386411534275516,0.9839880394999629,-6.235705334706762
DNAH9,-0.009647390418040488,5.0902997824852605,-0.8428650156474351,0.4006592076779435,0.7284417853912093,-5.895198328122389
DNAHL1,0.027943416462911996,5.160819983768707,1.3494967014807764,0.17923085889376458,0.5300683313154915,-5.361707141085434
DNAI1,0.030314189719780636,5.333852461755102,1.7983576151293381,0.0741512196515316,0.3654854649993702,-4.688932802558907
DNAI2,-0.010411953390110161,5.272548989115646,-0.5080564046609868,0.6121674880355985,0.8564481844434153,-6.113624566823447
DNAJA1,-0.05967643354395633,11.081914004829931,-1.8353274106359625,0.0684574108786504,0.3526555406015595,-4.625307333511488
DNAJA2,0.03984846334890091,10.283921644108844,1.6816385351726961,0.094740395189995,0.40863459500971494,-4.881667887811073
DNAJA3,0.009129546586538709,8.985845097952382,0.2637381331936923,0.7923472688429762,0.9354228750380218,-6.204889801410793
DNAJA4,0.04915760396565932,7.497143523782313,1.4348041212173068,0.1534452151907497,0.49692594111546784,-5.248153787817528
DNAJB1,-0.0024864658145607402,8.10388095377551,-0.07640059129038361,0.939203215000652,0.9841812369567721,-6.2357579755412775
DNAJB11,-0.05002604719780258,9.803533138877551,-1.0349057671965836,0.30239497816245803,0.6525840103226138,-5.721543626495995
DNAJB12,-0.020351241221978678,6.231723832576871,-1.2157679537810226,0.22600214214556746,0.5810485154154242,-5.526040005092307
DNAJB13,-0.024389920130494614,5.04996179992517,-1.3375015579934701,0.18310350254580152,0.5350844874568996,-5.37713032156612
DNAJB14,0.16578508872033043,7.62591177362449,3.248703244355673,0.0014337315588685208,0.04929589493326273,-1.3045389483370098
DNAJB2,0.05092061114629089,7.13165876672449,2.294057564791764,0.02318914009147682,0.21040152020084893,-3.734297148451694
DNAJB3,0.016542836543955646,5.13685771807483,0.9414271132625407,0.3480146849193464,0.6896221492368525,-5.810455107862407
DNAJB4,-0.03674513498145562,6.889239898115647,-1.1878552570382594,0.236786497187294,0.593057094348238,-5.558224841822714
DNAJB5,0.002989713661744166,5.375626493003401,0.2506265808496256,0.8024491919801943,0.939519901864152,-6.20815619816927
DNAJB6,-0.032082764311813186,9.097679704979592,-0.9733529008987452,0.3319604778462637,0.677161483053883,-5.781022273607538
DNAJB7,-0.020959532747252693,5.134463353442177,-1.1146566037174035,0.2667979917188851,0.6221261176639966,-5.639142314586974
DNAJB8,0.01131247895192314,5.1449002095714285,0.5962093709278423,0.5519429208118554,0.8253363416267738,-6.066556618269067
DNAJB9,0.04355638461538531,7.840380729047619,1.419954143366042,0.15771660604886686,0.5025247958726239,-5.268407278857577
DNAJC1,-0.010006454178571437,6.311912362687075,-0.3298411822076256,0.7419847014229848,0.9130635085687722,-6.185888899935349
DNAJC10,-0.05827352450892847,8.48218126712245,-1.8353834868187708,0.06844905826957526,0.3526555406015595,-4.625209887170095
DNAJC11,-0.015424514068681583,5.508498157326531,-0.6263164242495224,0.5320687959936441,0.814657980280893,-6.048768173160242
DNAJC12,0.013023360085165107,5.224675655517006,1.323084883008902,0.18784041421286482,0.5409999293376508,-5.395489338263079
DNAJC13,-0.001674992498626286,7.255363760721089,-0.05406521969405043,0.9569558555356767,0.9894511898464639,-6.237169930963278
DNAJC14,0.08345209301236305,7.104806574394558,3.0214784286492598,0.0029629776029252287,0.07343417519678883,-1.9504094139321806
DNAJC15,0.008765194405220186,7.995583112816327,0.19586173938270549,0.8449860934465783,0.9544041386144498,-6.22000032060589
DNAJC16,0.02680611254670326,5.507395824755102,1.0373585714476858,0.3012546658996318,0.6515007231536671,-5.719099029386077
DNAJC17,-0.06421222790659384,6.47105154370068,-2.4730734834028953,0.014522867831308522,0.16778787664089173,-3.336604124543886
DNAJC18,0.07374847158241808,5.89362885759864,3.348072413137516,0.0010312306495934337,0.04126145361807235,-1.0093948270469433
DNAJC19,0.05116371285439597,6.555459638231293,1.7086023913602297,0.08961348951204598,0.3978236363053477,-4.838244782808165
DNAJC2,-0.011666123012362686,7.229208913986395,-0.25527611855438326,0.7988629969285415,0.9384370716759998,-6.207016927061689
DNAJC21,0.005380647147435609,5.7131238017936505,0.3845848805057411,0.7010950946619262,0.896648295837662,-6.1669547139900764
DNAJC22,-0.017073809243131878,5.150788131843537,-0.897309176046527,0.3710061275525305,0.7076068801642182,-5.849532065560743
DNAJC24,0.057426161837912104,7.198067167578231,1.3777897104754429,0.1703405762926373,0.5195693439359816,-5.3247968862300095
DNAJC25,0.0026907608475274783,6.710269912292517,0.11716471807469543,0.9068878096434538,0.9743533784218219,-6.231934834069449
DNAJC25-GNG10,-0.09610389551098922,6.23407256637415,-2.1122197130482934,0.03634079241926633,0.2624178053302945,-4.109772626102367
DNAJC27,0.019672074918956634,7.157382727836735,0.7431166818092688,0.4585848251265384,0.7692868805866659,-5.971518121343932
DNAJC28,0.0095870766684981,5.3811591723900225,0.8842151794743889,0.37800914598903634,0.7122167518323804,-5.860773135415503
DNAJC3,-0.035242894324175954,6.441977658680272,-0.7164386008308694,0.4748455559187702,0.7790392294598419,-5.9903158907462295
DNAJC30,0.1493081669388741,6.29249711164966,4.399548269257847,2.0587662674660484e-5,0.004621342051527717,2.5567942099896666
DNAJC4,0.026424706573488933,6.829306811482994,1.3122121201369417,0.1914728919357181,0.5453954361675382,-5.409206899386002
DNAJC5,-0.05391428607005524,6.49298930970068,-1.7867129909851305,0.07602361971858052,0.36891230167738565,-4.708717132811708
DNAJC5B,0.018088239440933643,5.35084744632653,0.816476464067957,0.41553527050306127,0.7389791056168159,-5.916314338583152
DNAJC5G,0.009567878840659103,5.432978601258504,0.5142577104272231,0.6078361376082752,0.8540642289638257,-6.110558229140496
DNAJC6,-1.0536446840637914e-4,5.280143361608843,-0.008116353644110352,0.9935350491361825,0.9983445339680647,-6.238554377987547
DNAJC7,-0.07288290263873674,8.334249446884353,-2.2657430046377764,0.024912554558796693,0.21804634902872133,-3.794663233012569
DNAJC8,0.03367732399175884,10.208534276197279,0.8883332329795789,0.3757978858945866,0.7107073696890702,-5.857255442421757
DNAJC9,0.02189691307005527,8.432756529918366,0.5705238669443607,0.569184540676539,0.8348358711519143,-6.081043416255811
DNAL1,-0.003309154447115485,5.780020469738095,-0.20185282946805538,0.8403079804434208,0.95265218590963,-6.21884606561586
DNAL4,0.1174453539615388,7.896691580809524,4.556247924340183,1.0788389849545931e-5,0.003259960955882985,3.1528961603777645
DNALI1,-0.0040212588063187,5.440073872006803,-0.18446148859735373,0.8539030557298201,0.9579074781298581,-6.2221007198502765
DNASE1,0.016266581041208848,5.516991085013605,0.688910836023661,0.491954116878496,0.789411226556575,-6.008997048641527
DNASE1L1,-0.005322710149496692,5.916675495029478,-0.3663989292887191,0.7145888218721638,0.9020916010345713,-6.1735659588072105
DNASE1L2,0.004479926850274574,5.106855030782313,0.25865843347280426,0.7962568981258928,0.9368815485605716,-6.206175016477362
DNASE1L3,0.10448312509065953,6.420522681210884,1.5945953677335158,0.11292847602314068,0.44084615280296097,-5.017305155903605
DNASE2,-0.0367840083365386,8.156058232238095,-0.8929673899171509,0.3733191648930878,0.7096067305346989,-5.853277556443011
DNASE2B,-0.0014772433626375097,5.054655168394558,-0.12857240940741754,0.8978699309774264,0.9720718386226952,-6.230576623765471
DNCL1,0.09909190059065882,11.659759408163266,3.4149747144074047,8.226777696841407e-4,0.03585779693494287,-0.8064084623239571
DNCL2A,-0.04042382038598937,5.336243763612245,-2.0987335600903303,0.03753254752247967,0.26667371432092385,-4.13646309031867
DND1,0.026637600954670108,5.477967865537415,1.169984997656821,0.24388097419987845,0.5997498626813819,-5.578445370165901
DNER,0.027847701157967295,5.1819213982585035,1.319653761274694,0.18898112621858312,0.5422681585596415,-5.399830124393486
DNHD1,-0.03118803628022017,5.451617068755102,-1.2898460007934904,0.19910885771209622,0.5534406360953544,-5.437077435602617
DNHD2,0.09988134769093426,5.473873654278911,2.365591052633733,0.019292869470056283,0.1932369086784537,-3.578692664335084
DNHL1,-0.0688384645432692,5.979552827238095,-2.2522128479398402,0.025774940783531347,0.22185792633888143,-3.8232629222136816
DNLZ,-0.030428221317307606,7.901181852095238,-0.4677366417247011,0.6406585010359519,0.870630661775387,-6.132657132699295
DNM1,-0.024224638449176016,4.993824896156463,-1.2403354362058252,0.21680715861351965,0.5723234274145294,-5.497106637144143
DNM1L,0.03192667764239983,7.6300621254036285,1.3335098284590796,0.18440602981040685,0.5364383868204986,-5.382233047657711
